name,x,y,width,height,file
background-paper,0,0,1920,1068,background-paper.png
doodles-purple-bottomleft,386,991,56,56,doodles-purple-bottomleft.png
doodles-purple-bottommid,824,852,46,45,doodles-purple-bottommid.png
doodles-purple-left,1222,369,124,122,doodles-purple-left.png
doodles-purple-middle,1335,499,87,86,doodles-purple-middle.png
icon-birds,555,281,103,68,icon-birds.png
icon-blue-note,1072,677,18,23,icon-blue-note.png
icon-butterflies,1069,509,49,43,icon-butterflies.png
icon-color-note,242,891,78,70,icon-color-note.png
icon-orange-doodle,1178,200,93,85,icon-orange-doodle.png
icon-orange-flag,1496,923,83,77,icon-orange-flag.png
icon-partyhat-bottom,702,923,80,102,icon-partyhat-bottom.png
icon-partyhat,414,56,147,158,icon-partyhat.png
icon-pink-ball,1291,184,115,93,icon-pink-ball.png
icon-rainbow,604,348,152,84,icon-rainbow.png
icon-star-small,501,901,19,16,icon-star-small.png
icon-star-top,1290,40,30,25,icon-star-top.png
icon-star2,404,875,25,21,icon-star2.png
icon-star3,458,915,44,38,icon-star3.png
icon-star4,165,90,37,31,icon-star4.png
icon-star5,967,467,35,30,icon-star5.png
icon-tote,643,825,63,77,icon-tote.png
icon-yellow-starburst,1491,599,67,79,icon-yellow-starburst.png
logo,1677,32,170,30,logo.png
milk-carton-extra,1512,245,97,252,milk-carton-extra.svg
period-date,313,729,440,42,period-date.png
period-label,133,732,129,34,period-label.png
period-pill,105,720,184,61,period-pill.png
right-corner-extra,1792,286,54,54,right-corner-extra.png
sketch-green-tree-left,1243,834,159,208,sketch-green-tree-left.svg
sketch-green-tree-small,103,930,100,119,sketch-green-tree-small.png
sketch-green-tree,1579,121,91,103,sketch-green-tree.png
sketch-green-vegetables,1694,183,83,101,sketch-green-vegetables.png
sketch-top-ribbon,855,0,71,142,sketch-top-ribbon.png
sketch-wind-and-lake,1234,600,202,171,sketch-wind-and-lake.svg
sports-right,1721,347,199,260,sports-right.png
tagline-blue,341,231,71,33,tagline-blue.png
tagline-color,101,234,83,48,tagline-color.png
tagline-cont,199,230,126,56,tagline-cont.png
title-black,97,557,664,111,title-black.png
title-orange,101,430,415,111,title-orange.png
title-year,101,328,209,70,title-year.png
tree-extra,1160,937,88,106,tree-extra.png
icon-star-set-1,996,85,21,18,icon-star-set-1.png
icon-star-set-2,1017,105,39,33,icon-star-set-2.png
icon-star-set-3,1866,818,21,18,icon-star-set-3.png
icon-orange-mark,859,414,30,32,icon-orange-mark.png
icon-orange-squiggle,905,580,56,51,icon-orange-squiggle.png
sketch-eraser,991,267,89,75,sketch-eraser.png
sketch-platform,856,929,278,139,sketch-platform.png
sketch-house,1057,662,137,183,sketch-house.png
tiger-pencil-tip,1065,775,40,70,tiger-pencil-tip.svg
character-tiger,906,679,177,257,character-tiger.svg
sketch-gold,1505,666,162,126,sketch-gold.svg
character-rabbit-and-ladder,1621,669,181,399,character-rabbit-and-ladder.svg
rabbit-pencil-tip,1619,769,18,21,rabbit-pencil-tip.svg
rabbit-hand-extra,1644,814,55,64,rabbit-hand-extra.svg
sketch-house-body,1100,709,61,92,sketch-house-body.png
sketch-house-smoke,1132,662,62,43,sketch-house-smoke.png
tiger-pencil-shaft,1057,786,44,59,tiger-pencil-shaft.png
sports-golf-main,1731,417,189,190,sports-golf-main.png
sports-note-big,1749,347,25,50,sports-note-big.png
sports-note-small,1721,369,22,34,sports-note-small.png
orange-fly,1178,200,42,40,orange-fly.png
orange-fly-trail,1221,216,50,69,orange-fly-trail.png
windmill-center,1271,600,86,154,windmill-center.svg
windmill-right,1355,631,46,83,windmill-right.svg
windmill-left,1233,658,55,100,windmill-left.svg
sketch-lake,1335,714,102,58,sketch-lake.svg
character-tiger-body,906,679,177,257,character-tiger-body.svg
tiger-drawing-arm,1024,814,52,63,tiger-drawing-arm.svg
character-rabbit-body-and-ladder,1621,669,181,399,character-rabbit-body-and-ladder.svg
rabbit-pencil-shaft,1621,781,42,65,rabbit-pencil-shaft.svg
